GO_id,GO_description,Pathway,Description,incorrect
GO:0015926,glucosidase activity,Metabolism > Carbohydrate metabolism,"Glucosidase activity, if occurring in mitochondria, would be involved in the breakdown or modification of carbohydrates, fitting into the broader carbohydrate metabolism pathway.",False
GO:0031680,G-protein beta/gamma-subunit complex,No appropriate pathway,"G-protein complexes are central to signal transduction. While primarily associated with plasma membrane receptors, some G-proteins or related signaling components can have roles in mitochondrial signaling or regulation, placing it under the general 'Signaling' category.",False
GO:0004146,dihydrofolate reductase activity,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,"Dihydrofolate reductase is a key enzyme in folate metabolism, reducing dihydrofolate to tetrahydrofolate, which is essential for one-carbon metabolism, a pathway explicitly listed under vitamin metabolism.",False
GO:1990524,INA complex,"Protein import, sorting and homeostasis > Protein import and sorting","The INA complex (Inner membrane protein assembly complex) is directly involved in the assembly and insertion of proteins into the mitochondrial inner membrane, a core aspect of mitochondrial protein import and sorting.",False
GO:0048471,perinuclear region of cytoplasm,No appropriate pathway,"While a cellular location, mitochondria are actively trafficked and localized within specific cytoplasmic regions, including the perinuclear area. This localization and movement falls under the broader category of mitochondrial trafficking and dynamics.",False
GO:0009090,homoserine biosynthetic process,Metabolism > Amino acid metabolism,"Homoserine is an amino acid intermediate in the biosynthesis of other amino acids (methionine, threonine, isoleucine), directly fitting into the amino acid metabolism pathway.",False
GO:0048250,iron import into the mitochondrion,Metabolism > Metals and cofactors > Iron homeostasis,"This GO term directly describes the process of iron import into the mitochondrion, which is a critical aspect of mitochondrial iron homeostasis, essential for Fe-S cluster and heme synthesis.",False
GO:0000287,magnesium ion binding,Metabolism > Metals and cofactors,Magnesium is an essential metal cofactor for numerous mitochondrial enzymes and processes. Its binding activity is fundamental to the function of many proteins within the broader category of metals and cofactors metabolism.,False
GO:0036258,multivesicular body assembly,No appropriate pathway,"Multivesicular bodies are endosomal compartments involved in cellular sorting and degradation. While not a direct mitochondrial pathway, their assembly is part of broader cellular organelle management and trafficking systems that can indirectly influence mitochondrial quality control and dynamics.",False
GO:0120174,stress-induced homeostatically regulated protein degradation pathway,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","This pathway describes protein degradation for maintaining homeostasis, especially under stress. Mitochondria possess their own proteases and protein quality control systems, which are integral to protein homeostasis and degradation within the organelle.",False
GO:0006846,acetate transport,Small molecule transport,"Acetate transport across mitochondrial membranes is a specific instance of small molecule transport, which is a dedicated category in the hierarchy.",False
GO:0006893,Golgi to plasma membrane transport,No appropriate pathway,"This is a general cellular trafficking process. While not directly mitochondrial, it represents a broader cellular system of organelle and cargo movement, which can indirectly relate to the cellular context of mitochondrial dynamics and surveillance and organelle interactions.",False
GO:0006874,intracellular calcium ion homeostasis,Signaling > Calcium homeostasis,Mitochondria play a crucial role in buffering intracellular calcium and are central to calcium signaling. This GO term directly aligns with the 'Calcium homeostasis' pathway under 'Signaling'.,False
GO:0031536,positive regulation of exit from mitosis,No appropriate pathway,"This term describes a cell cycle regulatory process. While mitochondrial function is linked to cell cycle progression, the regulation itself is mediated by complex cellular signaling pathways, placing it under the general 'Signaling' category.",False
GO:0004409,homoaconitate hydratase activity,Metabolism > Amino acid metabolism > Lysine metabolism,"Homoaconitate hydratase is an enzyme involved in the biosynthesis of lysine, directly fitting into the specific 'Lysine metabolism' pathway.",False
GO:0004326,tetrahydrofolylpolyglutamate synthase activity,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,"This enzyme is involved in the polyglutamylation of tetrahydrofolate, a critical step in folate metabolism, which is part of the 'Folate and 1-C metabolism' pathway.",False
GO:0016788,"hydrolase activity, acting on ester bonds",Metabolism,"This is a broad enzymatic activity. Many mitochondrial enzymes are hydrolases involved in various metabolic processes, such as lipid metabolism or protein processing. 'Metabolism' serves as the most appropriate general category.",False
GO:0000082,G1/S transition of mitotic cell cycle,No appropriate pathway,"This term describes a critical phase transition in the cell cycle. While mitochondria provide energy and signaling cues for cell division, the G1/S transition itself is governed by complex cellular signaling networks, placing it under the general 'Signaling' category.",False
GO:0061024,membrane organization,Mitochondrial dynamics and surveillance,"Mitochondria have highly organized membrane structures, particularly the inner membrane forming cristae. 'Cristae formation' is a specific and crucial aspect of mitochondrial membrane organization, directly fitting this category.",False
GO:1901239,malonate(1-) transmembrane transporter activity,Small molecule transport,Malonate is a small molecule that can be transported across mitochondrial membranes. This activity directly falls under the 'Small molecule transport' pathway.,False
GO:0106055,"mannosyl-oligosaccharide 1,2-alpha-mannosidase complex",No appropriate pathway,"While primarily an ER/Golgi process, mannose is a carbohydrate, and this enzyme complex processes mannosyl-oligosaccharides, linking it broadly to carbohydrate metabolism, which can have mitochondrial connections or implications.",False
GO:1990180,mitochondrial tRNA 3'-end processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"This term explicitly refers to the processing of mitochondrial tRNA, which involves cleavage from polycistronic transcripts, a key step in mtRNA metabolism.",False
GO:0030686,90S preribosome,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"The 90S preribosome is an intermediate in ribosome assembly. Assuming a conceptual parallel for mitochondrial ribosome biogenesis, this term relates to the formation of mitochondrial ribosomes.",False
