uniprot_name	uniprot_accessions	knownness	gene_name	protein_name	taxon_id	species	cluster_id	panther_group
SDHF4_YEAST	P38345;D6VQR5	6.1	SDH8	Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4) (Found in mitochondrial proteome protein 21)	559292	Saccharomyces cerevisiae	UKP03616	PTHR28524
MIC60_YEAST	P36112;D6VX81	2.9	MIC60	MICOS complex subunit MIC60 (Altered inheritance of mitochondria protein 28) (Formation of crista junctions protein 1) (Found in mitochondrial proteome protein 13) (Mitofilin)	559292	Saccharomyces cerevisiae	UKP00400	PTHR15415
FMP48_YEAST	P53233;D6VUI7	2.0	FMP48	Probable serine/threonine-protein kinase FMP48 (EC 2.7.11.1) (Found in mitochondrial proteome protein 48)	559292	Saccharomyces cerevisiae	UKP00991	PTHR44167
AIM17_YEAST	P23180;D3DKP4	1.3	AIM17	Probable oxidoreductase AIM17 (EC 1.14.11.-) (Altered inheritance of mitochondria protein 17, mitochondrial) (Found in mitochondrial proteome protein 12)	559292	Saccharomyces cerevisiae	UKP03355	PTHR10696
FMP30_YEAST	Q02883;D6W3R4	4.2	FMP30	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D, mitochondrial (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54) (Found in mitochondrial proteome protein 30)	559292	Saccharomyces cerevisiae	UKP07895	PTHR15032
GEP3_YEAST	Q08622;D6W2R1	0.8	GEP3	Genetic interactor of prohibitins 3, mitochondrial (Altered inheritance of mitochondria protein 40) (Found in mitochondrial proteome protein 38)	559292	Saccharomyces cerevisiae	UKP01141	PTHR46434
MZM1_YEAST	Q03429;D6VTB5	3.4	MZM1	Mitochondrial zinc maintenance protein 1, mitochondrial (Altered inheritance of mitochondria protein 8) (Found in mitochondrial proteome protein 36)	559292	Saccharomyces cerevisiae	UKP05392	PTHR46749
RDL2_YEAST	Q08742;D6W2Y4	2.1	RDL2	Thiosulfate sulfurtransferase RDL2, mitochondrial (EC 2.8.1.1) (Altered inheritance of mitochondria protein 42) (Found in mitochondrial proteome protein 31) (Rhodanese-like protein 2)	559292	Saccharomyces cerevisiae	UKP10353	PTHR44086
FMP27_YEAST	Q06179;D6VZ88	0.0	FMP27	Protein FMP27, mitochondrial (Bridge-like lipid transfer protein family member 2A) (BLTP2A) (Found in mitochondrial proteome protein 27) (Protein hobbit 1) (HOB1)	559292	Saccharomyces cerevisiae	UKP04302	PTHR15678
FMP32_YEAST	P43557;D6VTI4	2.1	FMP32	Protein FMP32, mitochondrial (Found in mitochondrial proteome protein 32)	559292	Saccharomyces cerevisiae	UKP05432	PTHR14360
FMP46_YEAST	P36141;D6VXB0	0.8	FMP46	Putative redox protein FMP46, mitochondrial (EC 1.-.-.-) (Found in mitochondrial proteome protein 46)	559292	Saccharomyces cerevisiae	UKP14257	PTHR28071
AIM18_YEAST	P38884;D3DLE6	1.6	AIM18	Altered inheritance of mitochondria protein 18, mitochondrial (Found in mitochondrial proteome protein 22)	559292	Saccharomyces cerevisiae	UKP04467	PTHR47284
PIS_YEAST	P06197;D6W4B2	4.2	PIS1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	559292	Saccharomyces cerevisiae	UKP00101	PTHR15362
AIM24_YEAST	P47127;D6VWQ0	1.3	AIM24	Altered inheritance of mitochondria protein 24, mitochondrial (Found in mitochondrial proteome protein 26)	559292	Saccharomyces cerevisiae	UKP14052	PTHR36959
GATA_YEAST	Q03557;D6W0C0	3.9	HER2	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial (Glu-AdT subunit A) (EC 6.3.5.7) (HMG2-induced ER-remodeling protein 2) (Loss of respiratory capacity protein 6)	559292	Saccharomyces cerevisiae	UKP00300	PTHR11895
DNPEP_YEAST	P38821;D3DL63	2.7	APE4	Aspartyl aminopeptidase 4 (EC 3.4.11.21)	559292	Saccharomyces cerevisiae	UKP01259	PTHR28570
PDP1_YEAST	Q12511;D6W2F1	2.1	PTC5	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Phosphatase two C protein 5) (Protein phosphatase 2C homolog 5) (PP2C-5) (Protein phosphatase of PDH protein 1) (Pyruvate dehydrogenase complex phosphatase 1) (PDC phosphatase 1)	559292	Saccharomyces cerevisiae	UKP01471	PTHR13832
PMA2_YEAST	P19657;D6W3X8	3.1	PMA2	Plasma membrane ATPase 2 (EC 7.1.2.1) (Proton pump 2)	559292	Saccharomyces cerevisiae	UKP00355	PTHR42861
MAOM_YEAST	P36013;D6VXQ5	3.9	MAE1	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38)	559292	Saccharomyces cerevisiae	UKP01960	PTHR23406
SDP1_YEAST	P40479;D6VVH4	4.4	SDP1	Dual-specificity protein phosphatase SDP1 (EC 3.1.3.48) (Stress-inducible MAPK phosphatase)	559292	Saccharomyces cerevisiae	UKP02511	PTHR10159
AVT7_YEAST	P40501;D6VVJ9	5.6	AVT7	Vacuolar amino acid transporter 7	559292	Saccharomyces cerevisiae	UKP00501	PTHR22950
AGC1_YEAST	Q12482;D6W431	8.1	AGC1	Mitochondrial aspartate-glutamate transporter AGC1 (Aspartate-glutamate carrier 1)	559292	Saccharomyces cerevisiae	UKP07751	PTHR45678
UAF30_YEAST	Q08747;D6W2Z4	6.3	UAF30	Upstream activation factor subunit UAF30 (Upstream activation factor 30 KDa subunit) (p30)	559292	Saccharomyces cerevisiae	UKP05412	PTHR13844
BNA3_YEAST	P47039;D6VWC2	4.2	BNA3	Probable kynurenine--oxoglutarate transaminase BNA3 (EC 2.6.1.7) (Biosynthesis of nicotinic acid protein 3) (Kynurenine aminotransferase)	559292	Saccharomyces cerevisiae	UKP05823	PTHR43807
LEU9_YEAST	Q12166;D6W2G7	5.3	LEU9	2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)	559292	Saccharomyces cerevisiae	UKP14134	PTHR46911
HXT15_YEAST	P54854;D6VRB2	6.6	HXT15	Hexose transporter HXT15	559292	Saccharomyces cerevisiae	UKP02544	PTHR48022
SDHF2_YEAST	Q08230;D6W1Z6	6.0	SDH5	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	559292	Saccharomyces cerevisiae	UKP01906	PTHR12469
