Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
AAC1,YMR056C,P04710,Mitochondrial inner membrane ADP/ATP translocator; exchanges cytosolic ADP for mitochondrially synthesized ATP; phosphorylated; Aac1p is a minor isoform while Pet9p is the major ADP/ATP translocator; relocalizes from mitochondrion to cytoplasm upon DNA replication stress,0.18,0.07,0,,,X,,0,0,0.91,,X,,,,,,91%
AAT1,YKL106W,Q01802,Mitochondrial aspartate aminotransferase; catalyzes the conversion of oxaloacetate to aspartate in aspartate and asparagine biosynthesis,1.19,9.96,0.19,,X,,,0,0.96,0,,X,,,,,,96%
AAT2,YLR027C,P23542,Cytosolic aspartate aminotransferase involved in nitrogen metabolism; localizes to peroxisomes in oleate-grown cells,3.32,4.16,17.49,,,,X,0.02,0.03,0,,,,,,,,3%
ABF2,YMR072W,Q02486,"Mitochondrial DNA-binding protein; involved in mitochondrial DNA replication and recombination, member of HMG1 DNA-binding protein family; activity may be regulated by protein kinase A phosphorylation; ABF2 has a paralog, IXR1, that arose from the whole genome duplication",19.44,21.67,0.79,X,,,,0.98,0,0,,,,X,,,,98%
ACH1,YBL015W,P32316,Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth,24.97,17.98,0.45,X,,,,0.96,0,0,,,,X,,,,96%
ACO1,YLR304C,P19414,Aconitase; required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance; phosphorylated; component of the mitochondrial nucleoid; mutation leads to glutamate auxotrophy,16.2,20.99,0.49,X,,,,0.98,0,0,,,,X,,,,98%
ACO2,YJL200C,P39533,"Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol",10.17,17.88,0.37,X,,,,0.98,0,0,,,,X,,,,98%
ACP1,YKL192C,P32463,"Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; activated by phosphopantetheinylation catalyzed by Ppt2p",7.23,23.31,0.6,X,,,,0.95,0.03,0,,,,X,,,,95%
ACS1,YAL054C,Q01574,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",0.28,2.53,643.21,,,X,,0,0.27,0.55,,X,,,,,,55%
ACT1,YFL039C,P60010,"Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions",0.65,2.85,55.16,,,,X,0,0.3,0.41,,,,,,,,41%
ADE1,YAR015W,P27616,N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress,--,0.62,##,,,X,,0,0,0,,X,,,,,,0%
ADH1,YOL086C,P00330,"Alcohol dehydrogenase; fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway; ADH1 has a paralog, ADH5, that arose from the whole genome duplication",1.21,3.39,18.8,,,,X,0,0.34,0.04,,,,,,,,34%
ADH2,YMR303C,P00331,Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1,1.36,4.34,31.03,,,,X,0,0.58,0.01,,,,,,,,58%
ADH3,YMR083W,P07246,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production,22.87,24.61,0.58,X,,,,0.96,0,0,,,,X,,,,96%
ADH4,YGL256W,P10127,Alcohol dehydrogenase isoenzyme type IV; dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency,6.25,15.53,9.07,X,,,,0.96,0.02,0,,,,X,,,,96%
ADK1,YDR226W,P07170,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress",9.37,7.89,12.82,X,,,,0.89,0,0,,,X,,,,,89%
ADY2,YCR010C,P25613,"Acetate transporter required for normal sporulation; phosphorylated in mitochondria; ADY2 has a paralog, ATO2, that arose from the whole genome duplication",0.18,0.1,3.15,,,X,,0,0,0.93,,X,,,,,,93%
AEP1,YMR064W,P32493,Protein required for expression of the mitochondrial OLI1 gene; mitochondrial OLI1 gene encodes subunit 9 of F1-F0 ATP synthase,0.55,2.06,0,,,X,,0,0.05,0.75,,X,,,,,,75%
AEP2,YMR282C,P22136,Mitochondrial protein; likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader,0.33,1.2,0.02,,,X,,0,0,0.92,,X,,,,,,92%
AEP3,YPL005W,Q12089,Peripheral mitochondrial inner membrane protein; may facilitate use of unformylated tRNA-Met in mitochondrial translation initiation; stabilizes the bicistronic AAP1-ATP6 mRNA,0.6,2.77,0,,,X,,0,0.27,0.47,,X,,,,,,47%
AFG1,YEL052W,P32317,Protein that may act as a chaperone for cytochrome c oxidase subunits; conserved protein; may act as a chaperone in the degradation of misfolded or unassembled cytochrome c oxidase subunits; localized to matrix face of the mitochondrial inner membrane; member of the AAA family but lacks a protease domain,0.51,8.19,0.3,,X,,,0,0.96,0.01,,X,,,,,,96%
AFG3,YER017C,P39925,Mitochondrial inner membrane m-AAA protease component; mediates degradation of misfolded or unassembled proteins and is also required for correct assembly of mitochondrial enzyme complexes; involved in cytoplasmic mRNA translation and aging,0.22,0.16,0.35,,,X,,0,0,0.96,,X,,,,,,96%
AGC1,YPR021C,Q12482,Mitochondrial amino acid transporter; acts both as a glutamate uniporter and as an aspartate-glutamate exchanger; involved in nitrogen metabolism and nitrogen compound biosynthesis,0.19,0.11,0.06,,,X,,0,0,0.94,,X,,,,,,94%
AGX1,YFL030W,P43567,"Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases",20.68,28.82,0.54,X,,,,0.96,0,0,,,,X,,,,96%
AHP1,YLR109W,P38013,Thiol-specific peroxiredoxin; reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p,1.84,6.94,232.62,,X,,,0.02,0.81,0,,X,,,,,,81%
AI1,Q0050,P03875,Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene,0.24,4.58,0.23,,X,,,0,0.83,0.06,,X,,,,,,83%
AI2,Q0055,P03876,Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene,0.21,5.76,0.05,,X,,,0,0.87,0.02,,X,,,,,,87%
AI3,Q0060,P03877,Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene,0.4,4.47,0,,X,,,0,0.82,0.1,,X,,,,,,82%
AI4,Q0065,P03878,Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity,0.22,7.63,0,,X,,,0,0.89,0.01,,X,,,,,,89%
AI5_ALPHA,Q0070,Q9ZZX1,Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene,0.96,5.73,0,,X,,,0,0.9,0.01,,X,,,,,,90%
AIM1,YAL046C,P39724,Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss,11.62,11.06,0,X,,,,0.97,0,0,,,,X,,,,97%
AIM10,YER087W,P39965,Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss,6.03,6.66,0.09,X,,,,0.7,0.01,0,,,,X,,,,70%
AIM17,YHL021C,P23180,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss",5.31,10.35,0.34,X,,,,0.91,0.03,0,,,,X,,,,91%
AIM18,YHR198C,P38884,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",2.16,13.91,0.39,,X,,,0.08,0.88,0,X,,,,,,,88%
AIM19,YIL087C,P40502,Putative protein of unknown function; mitochondrial protein that physically interacts with Tim23p; null mutant displays reduced respiratory growth,0.28,0.06,0.14,,,X,,0,0,0.95,,X,,,,,,95%
AIM22,YJL046W,P47051,Putative lipoate-protein ligase; required along with Lip2 and Lip5 for lipoylation of Lat1p and Kgd2p; similar to E. coli LplA; null mutant displays reduced frequency of mitochondrial genome loss,3.22,4.63,0,,,,X,0.04,0.07,0,,,,,,,,7%
AIM23,YJL131C,P47015,"Mitochondrial translation initiation factor 3 (IF3, mIF3); evolutionarily conserved; binds to E. coli ribosomes in vitro; null mutant displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss",3.42,6.96,0.18,,,,X,0.39,0.22,0,,,,,,,,39%
AIM24,YJR080C,P47127,Protein with a role in determining mitochondrial architecture; inner membrane protein that interacts physically and genetically with the MICOS complex and is required for its integrity,0.2,0.09,0.2,,,X,,0,0,0.94,,X,,,,,,94%
AIM25,YJR100C,P47140,Putative protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; similar to murine NOR1; null mutant is viable and displays elevated frequency of mitochondrial genome loss,0.23,1.83,0.11,,,X,,0,0.07,0.74,,X,,,,,,74%
AIM32,YML050W,Q04689,Putative protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss,4.91,10.05,0.12,X,,,,0.89,0.04,0,,,,X,,,,89%
AIM34,YMR003W,Q03673,Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss,0.41,3.69,0,,X,,,0,0.67,0.22,,X,,,,,,67%
AIM36,YMR157C,Q03798,"Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies",0.4,0.51,0.31,,,X,,0,0,0.96,,X,,,,,,96%
AIM39,YOL053W,Q08223,Putative protein of unknown function; null mutant displays elevated frequency of mitochondrial genome loss,0.21,0.21,0.13,,,X,,0,0,0.96,,X,,,,,,96%
AIM41,YOR215C,Q12032,Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss,15.1,21.78,1.06,X,,,,0.98,0,0,,,,X,,,,98%
AIM45,YPR004C,Q12480,"Putative ortholog of mammalian ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss; may have a role in oxidative stress response; ETF-alpha is an electron transfer flavoprotein complex subunit",4.57,21.53,0.22,X,,,,0.76,0.21,0,,,,X,,,,76%
AIM46,YHR199C,P38885,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",0.53,7.9,0.04,,X,,,0,0.96,0.01,,X,,,,,,96%
AIM9,YER080W,P40053,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",1.16,18.39,0.7,,X,,,0,0.97,0,,X,,,,,,97%
ALA1,YOR335C,P40825,Cytoplasmic and mitochondrial alanyl-tRNA synthetase; required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog AARS; mutations in human homolog AARS are associated with autoimmune disease polymyositis/dermatomyositis,3.91,6.89,5.62,X,,,,0.51,0.11,0,,,,X,,,,51%
ALD4,YOR374W,P46367,Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol,7.54,18.63,1.27,X,,,,0.97,0.01,0,,,,X,,,,97%
ALD5,YER073W,P40047,Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed,12.14,22.25,0.77,X,,,,0.98,0,0,,,,X,,,,98%
ALD6,YPL061W,P54115,Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress,1.43,2.35,25.61,,,,X,0,0.03,0.04,,,,,,,,4%
ALG11,YNL048W,P53954,"Alpha-1,2-mannosyltransferase; catalyzes sequential addition of the two terminal alpha 1,2-mannose residues to the Man5GlcNAc2-PP-dolichol intermediate during asparagine-linked glycosylation in the ER",4.59,2.79,##,,,,X,0,0,0,,,,,,,,0%
ALG9,YNL219C,P53868,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes both the transfer of seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 congenital disorders of glycosylation",0.38,0.64,2.93,,,X,,0,0,0.96,,X,,,,,,96%
ALO1,YML086C,P54783,"D-Arabinono-1,4-lactone oxidase; catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress",0.61,0.63,0.19,,,X,,0,0,0.9,X,,,,,,,90%
ALT1,YLR089C,P52893,"Alanine transaminase (glutamic pyruvic transaminase); involved in alanine biosynthesis and catabolism; TOR1-independent role in determining chronological lifespan; expression is induced in the presence of alanine; repression is mediated by Nrg1p; ALT1 has a paralog, ALT2, that arose from the whole genome duplication; Alt2p is catalytically inactive",3.63,20.44,0.23,X,,,,0.52,0.44,0,,,,X,,,,52%
AMS1,YGL156W,P22855,Vacuolar alpha mannosidase; involved in free oligosaccharide (fOS) degradation; delivered to the vacuole in a novel pathway separate from the secretory pathway,3.08,20.00**,42.94,X,,,,0,0,0,,,,X,,,,0%
APE2,YKL157W,P32454,"Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication",13.27,3.95,1.6,,,,X,0.03,0,0,,,,,,,,3%
APE4,YHR113W,P38821,Cytoplasmic aspartyl aminopeptidase with possible vacuole function; Cvt pathway cargo protein; cleaves unblocked N-terminal acidic amino acids from peptide substrates; forms a 12-subunit homo-oligomer; M18 metalloprotease family,7.12,3.23,4.51,,,,X,0,0,0,,,,,,,,0%
APN1,YKL114C,P22936,"Major apurinic/apyrimidinic endonuclease; 3'-repair diesterase; involved in repair of DNA damage by oxidation and alkylating agents; also functions as a 3'-5' exonuclease to repair 7,8-dihydro-8-oxodeoxyguanosine; genetically interacts with NTG1 to maintain mitochondrial genome integrity",2.92,20.00**,1.32,X,,,,0,0,0,,,,X,,,,0%
APP1,YNL094W,P53933,"Phosphatidate phosphatase, converts phosphatidate to diacylglycerol; App1p, Pah1p, Dpp1p, and Lpp1p are responsible for all the phosphatidate phosphatase activity; component of cortical actin patches; interacts with components of endocytic pathway",0.65,1.5,0,,,X,,0,0,0.78,,X,,,,,,78%
ARC1,YGL105W,P46672,"Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p",4.8,12.56,5.07,X,,,,0.9,0.06,0,,,,X,,,,90%
