Pathway_ID,Pathway,Pathway_Hierarchy,Uniprot_IDs,Genes,GO_Annotations,Gene_Count
1,Mitochondrial central dogma,Mitochondrial central dogma,"O14464, O14467, O75012, P00359, P02381, P02992, P03873, P03874, P03875, P03876, P03878, P03879, P03882, P04456, P04803, P05066, P05750, P05756, P06168, P07236, P07251, P07252, P07253, P07263, P07266, P07271, P07390, P07806, P07807, P07884, P08425, P08466, P08468, P08593, P09624, P0CS90, P10355, P10662, P10663, P10834, P10849, P11325, P12686, P12687, P13433, P14063, P14066, P14832, P14905, P14908, P15179, P15424, P15565, P15801, P15992, P16387, P16658, P16862, P17505, P17558, P19262, P19414, P19516, P19882, P19955, P19956, P20081, P20084, P20967, P21269, P21375, P21560, P21771, P21954, P22136, P22353, P22354, P22438, P23369, P23542, P23615, P24720, P25038, P25039, P25270, P25294, P25345, P25348, P25374, P25379, P25605, P25626, P25642, P25694, P25846, P26783, P26793, P27796, P27929, P28778, P28817, P28834, P29547, P30775, P31334, P31378, P32048, P32266, P32335, P32344, P32387, P32388, P32419, P32445, P32473, P32493, P32522, P32559, P32579, P32580, P32598, P32606, P32611, P32785, P32787, P32843, P32902, P32904, P33416, P33751, P33759, P33893, P34222, P35180, P35191, P35996, P36038, P36056, P36101, P36146, P36159, P36516, P36517, P36519, P36520, P36521, P36523, P36525, P36526, P36527, P36528, P36531, P36532, P36533, P36534, P36775, P38064, P38088, P38120, P38127, P38137, P38175, P38230, P38289, P38300, P38626, P38701, P38705, P38714, P38715, P38756, P38771, P38783, P38793, P38860, P38876, P38884, P38885, P38988, P39103, P39112, P39515, P39677, P39707, P39940, P39952, P39987, P39990, P40033, P40156, P40185, P40496, P40513, P40825, P40858, P41800, P41805, P42847, P42900, P43122, P46367, P46655, P46672, P46943, P47008, P47015, P47025, P47141, P47150, P48237, P48525, P48526, P48527, P48567, P50273, P50896, P51998, P53070, P53088, P53123, P53140, P53163, P53166, P53167, P53212, P53260, P53292, P53294, P53297, P53305, P53334, P53598, P53720, P53724, P53732, P53733, P53736, P53852, P53875, P53881, P53921, P53937, P53944, P54964, P60010, Q01163, Q01217, Q01532, Q02204, Q02486, Q02608, Q02629, Q02773, Q02825, Q02950, Q03020, Q03151, Q03153, Q03201, Q03246, Q03430, Q03557, Q03652, Q03702, Q03799, Q03976, Q04013, Q04311, Q04599, Q04675, Q04748, Q05043, Q05863, Q06090, Q06109, Q06244, Q06630, Q06678, Q06683, Q07560, Q07807, Q07938, Q08179, Q08282, Q08622, Q08686, Q08818, Q12039, Q12056, Q12069, Q12089, Q12093, Q12167, Q12219, Q12315, Q12322, Q12339, Q12374, Q12393, Q12487, Q3E7B2, Q9ZZX1","RTC6, MBF1, MRP10, TDH3, VAR1, TUF1, BI2, CBP2, AI1, AI2, AI4, BI4, SCEI, RPL25, MSW1, P05066, RPS3, RPS13, ILV5, MST1, ATP1, CBP1, CBP6, HTS1, MRS1, P07271, PET494, VAS1, DFR1, P07884, MSF1, NUC1, PET111, MSS18, LPD1, SSC1, PET122, MRP1, MRP2, PET54, MTF2, NAM2, MRP13, MRP7, RPO41, MRPL31, P14066, CPR1, CBS2, MTF1, MSD1, MSS116, TRM1, MIP1, HSP26, PDA1, SEN2, P16862, MDH1, PET123, KGD2, ACO1, COX11, HSP60, YMR31, MRPL44, FPR1, MRPL33, KGD1, CCA1, OSM1, CBP3, MRPS28, IDP1, AEP2, MRPL8, MRPL20, MSM1, MRPL25, AAT2, SPT6, MNE1, IFM1, MEF1, MRM1, SIS1, SLM5, MRPL32, NFS1, P25379, ILV6, IMG1, IMG2, CDC48, MSH1, RPS5, RAD27, POT1, NAM9, MRP17, EHD3, IDH1, CAM1, MRF1, MRPL9, P31378, MSK1, MGM1, MSS51, P32344, MRP20, MRP49, MDH3, RIM1, PDB1, AEP1, PET309, MSS1, SUA5, SUV3, GLC7, PET127, RML2, FMT1, MGM101, YME2, MRP4, MRPL6, HSP78, P33751, MRPS5, PET112, PTH2, TOM20, MDJ1, MRPL38, CBT1, RSM22, TCD2, P36146, TRZ1, MRPL3, MRPL4, MRPL7, MRPL10, MRPL11, MRPL15, MRPL24, MRPL27, MRPL28, MRPL17, MRPL36, MRPL37, MRPL39, MRPL40, PIM1, MRPL16, GRS1, MRPS9, RIM2, PCS60, MRP21, ZTA1, EXO5, MBA1, CBR1, RPS20, DIA4, MSR1, GRE3, TCD1, RRF1, FYV4, P38793, MTG2, PTH1, AIM18, AIM46, GGC1, COX14, DSS1, TIM17, MEF2, SEN34, RSP5, OXA1, ECM10, SNU13, RSM18, RRG9, MMF1, RSM25, MAM33, ALA1, MRPL49, MMM1, RPL10, MRPS18, SLS1, QRI7, ALD4, P46655, ARC1, GUF1, SFH5, AIM23, MDV1, RSM26, RSM7, CCM1, MSE1, ISM1, MSY1, PUS4, ATP22, P50896, YML6, MTO1, P53088, MRM2, RMD9, MNP1, MRH4, PUS2, YGR021W, GTF1, MRPS35, PUS6, PBP1, RSM27, SCW4, LSC1, SMM1, MRPL50, MRPS12, RSM19, YNR040W, YNL247W, MRPL19, MRPL22, YNL122C, SWS2, P53944, REX2, ACT1, RSM23, ARG5,6, LAP3, MRPL13, ABF2, MRPS16, NUP100, RPM2, SEN54, MRP51, ISU1, MTG1, ATP25, RSM10, MRPS17, RSM28, HER2, Q03652, CCE1, MRPS8, RSM24, YHM2, Q04311, MRPL1, Q04675, SOV1, Q05043, YLR281C, MRPL51, RRG8, Q06244, MHR1, MRPL35, IRC3, CRD1, Q07807, MEU1, MDM38, Q08282, GEP3, TUM1, MSC6, HMI1, ISU2, PUS9, AEP3, SLM3, RRG1, Q12219, GLE1, YOL114C, Q12339, NCA2, GEP5, MRPL23, COA3, AI5_ALPHA","GO:0000002 (mitochondrial genome maintenance); GO:0000027 (ribosomal large subunit assembly); GO:0000154 (rRNA modification); GO:0000379 (tRNA-type intron splice site recognition and cleavage); GO:0000448 (cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000462 (maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000467 (exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000957 (mitochondrial RNA catabolic process); GO:0000964 (mitochondrial RNA 5'-end processing); GO:0001522 (pseudouridine synthesis); GO:0001680 (tRNA 3'-terminal CCA addition); GO:0001682 (tRNA 5'-leader removal); GO:0002098 (tRNA wobble uridine modification); GO:0002939 (tRNA N1-guanine methylation); GO:0002949 (tRNA threonylcarbamoyladenosine modification); GO:0003729 (mRNA binding); GO:0003743 (translation initiation factor activity); GO:0003746 (translation elongation factor activity); GO:0004045 (peptidyl-tRNA hydrolase activity); GO:0004518 (nuclease activity); GO:0005527 (macrolide binding); GO:0005761 (mitochondrial ribosome); GO:0005763 (mitochondrial small ribosomal subunit); GO:0006264 (mitochondrial DNA replication); GO:0006308 (DNA catabolic process); GO:0006314 (intron homing); GO:0006316 (movement of group I intron); GO:0006355 (regulation of DNA-templated transcription); GO:0006390 (mitochondrial transcription); GO:0006391 (transcription initiation at mitochondrial promoter); GO:0006397 (mRNA processing); GO:0006400 (tRNA modification); GO:0006413 (translational initiation); GO:0006414 (translational elongation); GO:0006415 (translational termination); GO:0006418 (tRNA aminoacylation for protein translation); GO:0006419 (alanyl-tRNA aminoacylation); GO:0006423 (cysteinyl-tRNA aminoacylation); GO:0006431 (methionyl-tRNA aminoacylation); GO:0006432 (phenylalanyl-tRNA aminoacylation); GO:0006438 (valyl-tRNA aminoacylation); GO:0006451 (translational readthrough); GO:0008033 (tRNA processing); GO:0008380 (RNA splicing); GO:0008409 (5'-3' exonuclease activity); GO:0008494 (translation activator activity); GO:0016031 (tRNA import into mitochondrion); GO:0016071 (mRNA metabolic process); GO:0020037 (heme binding); GO:0030488 (tRNA methylation); GO:0030490 (maturation of SSU-rRNA); GO:0030686 (90S preribosome); GO:0030956 (glutamyl-tRNA(Gln) amidotransferase complex); GO:0031011 (Ino80 complex); GO:0031119 (tRNA pseudouridine synthesis); GO:0031167 (rRNA methylation); GO:0031369 (translation initiation factor binding); GO:0031440 (regulation of mRNA 3'-end processing); GO:0031591 (wybutosine biosynthetic process); GO:0032543 (mitochondrial translation); GO:0032938 (negative regulation of translation in response to oxidative stress); GO:0035925 (mRNA 3'-UTR AU-rich region binding); GO:0042254 (ribosome biogenesis); GO:0042645 (mitochondrial nucleoid); GO:0042780 (tRNA 3'-end processing); GO:0045182 (translation regulator activity); GO:0045727 (positive regulation of translation); GO:0046443 (FAD metabolic process); GO:0048255 (mRNA stabilization); GO:0051276 (chromosome organization); GO:0061504 (cyclic threonylcarbamoyladenosine biosynthetic process); GO:0070124 (mitochondrial translational initiation); GO:0070126 (mitochondrial translational termination); GO:0070130 (negative regulation of mitochondrial translation); GO:0070131 (positive regulation of mitochondrial translation); GO:0070145 (mitochondrial asparaginyl-tRNA aminoacylation); GO:0070146 (mitochondrial aspartyl-tRNA aminoacylation); GO:0070150 (mitochondrial glycyl-tRNA aminoacylation); GO:0070158 (mitochondrial seryl-tRNA aminoacylation); GO:0070159 (mitochondrial threonyl-tRNA aminoacylation); GO:0070183 (mitochondrial tryptophanyl-tRNA aminoacylation); GO:0070184 (mitochondrial tyrosyl-tRNA aminoacylation); GO:0070651 (nonfunctional rRNA decay); GO:0070899 (mitochondrial tRNA wobble uridine modification); GO:0071951 (conversion of methionyl-tRNA to N-formyl-methionyl-tRNA); GO:0090297 (positive regulation of mitochondrial DNA replication); GO:0090615 (mitochondrial mRNA processing); GO:0097177 (mitochondrial ribosome binding); GO:0140101 (catalytic activity, acting on a tRNA); GO:0140694 (membraneless organelle assembly); GO:1901858 (regulation of mitochondrial DNA metabolic process); GO:1902775 (mitochondrial large ribosomal subunit assembly); GO:1905082 (regulation of mitochondrial translational elongation); GO:1990145 (maintenance of translational fidelity); GO:1990400 (mitochondrial ribosomal large subunit rRNA binding)",302
2,mtDNA maintenance,Mitochondrial central dogma > mtDNA maintenance,"P03873, P03876, P03878, P03882, P06168, P07251, P07271, P08466, P09624, P0CS90, P13433, P15424, P15801, P16387, P19262, P19414, P19882, P20967, P21954, P23615, P25379, P25605, P25846, P28834, P31378, P32266, P32445, P32473, P32580, P32598, P32787, P32843, P33416, P35191, P36775, P38127, P38289, P38988, P39515, P39677, P39987, P40156, P41800, P42900, P46367, P47025, P48237, P53163, P53598, P54964, P60010, Q02486, Q02629, Q03652, Q03702, Q04013, Q06090, Q06109, Q06630, Q06683, Q07560, Q12039, Q12167, Q12219, Q12393","BI2, AI2, AI4, SCEI, ILV5, ATP1, P07271, NUC1, LPD1, SSC1, RPO41, MSS116, MIP1, PDA1, KGD2, ACO1, HSP60, KGD1, IDP1, SPT6, P25379, ILV6, MSH1, IDH1, P31378, MGM1, RIM1, PDB1, SUV3, GLC7, MGM101, YME2, HSP78, MDJ1, PIM1, RIM2, EXO5, GGC1, TIM17, MEF2, ECM10, RRG9, MMM1, SLS1, ALD4, MDV1, CCM1, MNP1, LSC1, REX2, ACT1, ABF2, NUP100, Q03652, CCE1, YHM2, MRPL51, RRG8, MHR1, IRC3, CRD1, HMI1, RRG1, Q12219, GEP5",GO:0000002 (mitochondrial genome maintenance); GO:0004518 (nuclease activity); GO:0006264 (mitochondrial DNA replication); GO:0006308 (DNA catabolic process); GO:0006314 (intron homing); GO:0006334 (nucleosome assembly); GO:0031011 (Ino80 complex); GO:0032042 (mitochondrial DNA metabolic process); GO:0042645 (mitochondrial nucleoid); GO:0051276 (chromosome organization); GO:0051880 (G-quadruplex DNA binding); GO:0090297 (positive regulation of mitochondrial DNA replication); GO:0140694 (membraneless organelle assembly); GO:1901858 (regulation of mitochondrial DNA metabolic process),65
3,mtDNA replication,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,"P15801, P31378, P32445, P32580, Q06630","MIP1, P31378, RIM1, SUV3, MHR1",GO:0006264 (mitochondrial DNA replication); GO:0090297 (positive regulation of mitochondrial DNA replication),5
4,mtDNA nucleoid,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid,"P06168, P07251, P07271, P09624, P0CS90, P13433, P16387, P19262, P19414, P19882, P20967, P21954, P23615, P25379, P25605, P28834, P32445, P32473, P32598, P32787, P39987, P42900, P46367, P53163, P53598, Q02486, Q02629, Q04013","ILV5, ATP1, P07271, LPD1, SSC1, RPO41, PDA1, KGD2, ACO1, HSP60, KGD1, IDP1, SPT6, P25379, ILV6, IDH1, RIM1, PDB1, GLC7, MGM101, ECM10, SLS1, ALD4, MNP1, LSC1, ABF2, NUP100, YHM2","GO:0006334 (nucleosome assembly); GO:0008301 (DNA binding, bending); GO:0042645 (mitochondrial nucleoid); GO:0051276 (chromosome organization); GO:0140694 (membraneless organelle assembly)",28
5,mtDNA repair,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,P25846,MSH1,GO:0043504 (mitochondrial DNA repair),1
6,mtDNA modifications,Mitochondrial central dogma > mtDNA maintenance > mtDNA modifications,"P03876, P03878, P03882","AI2, AI4, SCEI",GO:0006314 (intron homing),3
7,mtDNA stability and decay,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay,"P03873, P07271, P08466, P15424, P15801, P60010","BI2, P07271, NUC1, MSS116, MIP1, ACT1",GO:0004518 (nuclease activity); GO:0006308 (DNA catabolic process); GO:0031011 (Ino80 complex); GO:0032043 (mitochondrial DNA catabolic process); GO:0051880 (G-quadruplex DNA binding),6
8,mtRNA metabolism,Mitochondrial central dogma > mtRNA metabolism,"P03873, P03874, P03875, P03878, P03879, P05750, P05756, P07252, P07263, P07266, P07806, P07884, P08593, P10834, P10849, P11325, P13433, P14908, P15424, P15565, P16658, P20081, P21269, P23615, P24720, P25270, P25374, P25694, P26783, P26793, P29547, P32048, P32344, P32559, P32579, P32580, P32598, P32606, P33893, P35180, P36038, P36101, P36146, P36159, P38088, P38230, P38626, P38701, P38756, P38793, P39112, P39707, P39940, P39990, P40825, P43122, P46655, P48237, P48567, P53070, P53088, P53123, P53140, P53166, P53167, P53260, P53294, P53720, P53852, P54964, P60010, Q01217, Q02629, Q02773, Q02825, Q03020, Q03153, Q03557, Q04311, Q04675, Q05043, Q06244, Q06630, Q08282, Q08622, Q08686, Q12056, Q12069, Q12089, Q12093, Q12339, Q12374, Q9ZZX1","BI2, CBP2, AI1, AI4, BI4, RPS3, RPS13, CBP1, HTS1, MRS1, VAS1, P07884, MSS18, PET54, MTF2, NAM2, RPO41, MTF1, MSS116, TRM1, SEN2, FPR1, CCA1, SPT6, MNE1, MRM1, NFS1, CDC48, RPS5, RAD27, CAM1, MSK1, P32344, MSS1, SUA5, SUV3, GLC7, PET127, PET112, TOM20, CBT1, TCD2, P36146, TRZ1, GRS1, ZTA1, CBR1, RPS20, TCD1, P38793, DSS1, SEN34, RSP5, SNU13, ALA1, QRI7, P46655, CCM1, PUS4, MTO1, P53088, MRM2, RMD9, MRH4, PUS2, GTF1, PUS6, SMM1, YNL247W, REX2, ACT1, ARG5,6, NUP100, RPM2, SEN54, ISU1, ATP25, HER2, Q04311, Q04675, Q05043, Q06244, MHR1, Q08282, GEP3, TUM1, ISU2, PUS9, AEP3, SLM3, Q12339, NCA2, AI5_ALPHA","GO:0000154 (rRNA modification); GO:0000372 (Group I intron splicing); GO:0000373 (Group II intron splicing); GO:0000379 (tRNA-type intron splice site recognition and cleavage); GO:0000448 (cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000460 (maturation of 5.8S rRNA); GO:0000462 (maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000467 (exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000957 (mitochondrial RNA catabolic process); GO:0000958 (mitochondrial mRNA catabolic process); GO:0000963 (mitochondrial RNA processing); GO:0000964 (mitochondrial RNA 5'-end processing); GO:0001522 (pseudouridine synthesis); GO:0001680 (tRNA 3'-terminal CCA addition); GO:0001682 (tRNA 5'-leader removal); GO:0002098 (tRNA wobble uridine modification); GO:0002939 (tRNA N1-guanine methylation); GO:0002949 (tRNA threonylcarbamoyladenosine modification); GO:0003700 (DNA-binding transcription factor activity); GO:0003724 (RNA helicase activity); GO:0004521 (RNA endonuclease activity); GO:0005847 (mRNA cleavage and polyadenylation specificity factor complex); GO:0006316 (movement of group I intron); GO:0006355 (regulation of DNA-templated transcription); GO:0006390 (mitochondrial transcription); GO:0006391 (transcription initiation at mitochondrial promoter); GO:0006396 (RNA processing); GO:0006397 (mRNA processing); GO:0006400 (tRNA modification); GO:0008033 (tRNA processing); GO:0008380 (RNA splicing); GO:0008409 (5'-3' exonuclease activity); GO:0016031 (tRNA import into mitochondrion); GO:0016070 (RNA metabolic process); GO:0016071 (mRNA metabolic process); GO:0016072 (rRNA metabolic process); GO:0030488 (tRNA methylation); GO:0030490 (maturation of SSU-rRNA); GO:0030956 (glutamyl-tRNA(Gln) amidotransferase complex); GO:0031119 (tRNA pseudouridine synthesis); GO:0031167 (rRNA methylation); GO:0031440 (regulation of mRNA 3'-end processing); GO:0031591 (wybutosine biosynthetic process); GO:0034337 (RNA folding); GO:0035925 (mRNA 3'-UTR AU-rich region binding); GO:0042780 (tRNA 3'-end processing); GO:0045893 (positive regulation of DNA-templated transcription); GO:0048255 (mRNA stabilization); GO:0061504 (cyclic threonylcarbamoyladenosine biosynthetic process); GO:0070651 (nonfunctional rRNA decay); GO:0070899 (mitochondrial tRNA wobble uridine modification); GO:0090615 (mitochondrial mRNA processing); GO:0140101 (catalytic activity, acting on a tRNA); GO:1990825 (sequence-specific mRNA binding); GO:2000232 (regulation of rRNA processing)",93
9,Transcription,Mitochondrial central dogma > mtRNA metabolism > Transcription,"P13433, P14908, P15424, P23615, P29547, P38088, P53140, P60010, Q01217, Q02629, Q05043, Q06630","RPO41, MTF1, MSS116, SPT6, CAM1, GRS1, RMD9, ACT1, ARG5,6, NUP100, Q05043, MHR1",GO:0003700 (DNA-binding transcription factor activity); GO:0006353 (DNA-templated transcription termination); GO:0006355 (regulation of DNA-templated transcription); GO:0006390 (mitochondrial transcription); GO:0006391 (transcription initiation at mitochondrial promoter); GO:0006392 (transcription elongation by mitochondrial RNA polymerase); GO:0031564 (transcription antitermination); GO:0045893 (positive regulation of DNA-templated transcription); GO:1903108 (regulation of mitochondrial transcription),12
10,Polycistronic mtRNA processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"P03874, P03875, P03879, P05756, P07266, P08593, P10834, P10849, P11325, P15424, P16658, P23615, P24720, P32048, P32344, P32580, P32606, P36038, P36146, P36159, P38701, P39707, P39990, P53140, P53720, P54964, Q02773, Q02825, Q04675, Q12339, Q9ZZX1","CBP2, AI1, BI4, RPS13, MRS1, MSS18, PET54, MTF2, NAM2, MSS116, SEN2, SPT6, MNE1, MSK1, P32344, SUV3, PET127, CBT1, P36146, TRZ1, RPS20, SEN34, SNU13, RMD9, SMM1, REX2, RPM2, SEN54, Q04675, Q12339, AI5_ALPHA","GO:0000372 (Group I intron splicing); GO:0000373 (Group II intron splicing); GO:0000379 (tRNA-type intron splice site recognition and cleavage); GO:0000448 (cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000462 (maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000467 (exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)); GO:0000964 (mitochondrial RNA 5'-end processing); GO:0001682 (tRNA 5'-leader removal); GO:0006316 (movement of group I intron); GO:0006397 (mRNA processing); GO:0008033 (tRNA processing); GO:0031440 (regulation of mRNA 3'-end processing); GO:0042780 (tRNA 3'-end processing); GO:0090615 (mitochondrial mRNA processing)",31
